scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,bond_principal_usd,bond_raw_lp_returned_usd,bond_cumulative_fee_return_usd,bond_net_after_principal_usd,bond_simple_fee_yield,bond_annualized_fee_yield,bond_cagr_fee_yield,bond_coupon_due_usd,bond_coupon_coverage_ratio,bond_coupon_shortfall_usd,bond_principal_shortfall_at_term_usd,bond_payback_ratio,potential_largest_component_share,realized_largest_component_share,realized_edge_top_share,top_impact_activity,top_impact_expected_exposure
sarafu_like_pools,1,1200102,0.12,52,52,124,126,225,54270.74196885738,0.9154929577464789,2342.962945654836,0.0,22908.95853528883,444.84438582279705,444.84438582279705,196.0330349005343,0.49193548387096775,0.5654240500178799,0.1283307258064516,0.577730747631245,916.6791186565035,0.25,0.13709677419354838,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9838709677419355,0.014579671181883982,Regenerative Agriculture,192.9283500347257
sarafu_like_pools,2,1200103,0.12,52,52,124,126,190,29960.423602271378,0.95,0.0,0.0,232.3878201143123,5.144184822112325,5.144184822112325,0.0,0.2903225806451613,0.7209509356881376,0.1250893870967742,0.5776412363426368,846.6646646314333,0.20967741935483872,0.16129032258064516,0.6290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9758064516129032,0.016317308899209237,Regenerative Agriculture,175.830505525653
regenbond_lp_injection,1,2000102,0.0,52,52,125,127,380,83358.03686413467,0.979933110367893,6718.631328663771,0.0,127309.17525388263,20553.590259798853,20553.590259798853,0.0,0.24,0.05817721039610243,0.130187048,0.5804951914041675,957.141906506696,0.256,0.144,0.6,400000.0,52419.976275437286,52419.976275437286,-347580.0237245627,0.1310499406885932,0.1310499406885932,0.1310499406885932,0.0,1.0,0.0,347580.0237245627,0.1310499406885932,0.992,0.992,0.015559857057772483,Regenerative Agriculture,203.2129373661395
regenbond_lp_injection,2,2000103,0.0,52,52,125,127,354,280937.7494382841,0.9781021897810219,14081.705583218012,0.0,351877.9388731074,24557.196506566488,24557.196506566488,0.0,0.264,0.04102801877796013,0.13713970400000003,0.5906066337463617,975.809341002898,0.28,0.168,0.552,400000.0,96243.74397758504,96243.74397758504,-303756.25602241495,0.2406093599439626,0.2406093599439626,0.2406093599439627,0.0,1.0,0.0,303756.25602241495,0.2406093599439626,0.992,0.992,0.01584171879249388,Regenerative Agriculture,208.3443881456747
regenbond_lp_injection,1,2100102,0.06,52,52,125,127,342,144620.78813880662,0.9413919413919414,5867.560376215519,0.0,122608.16740134342,17390.049507471693,17390.049507471693,0.0,0.216,0.07559541207472918,0.13400007200000003,0.5843202804818526,998.1913167990607,0.28,0.144,0.576,400000.0,69318.30664872567,69318.30664872567,-330681.69335127436,0.17329576662181417,0.17329576662181417,0.17329576662181423,24000.0,2.8882627770302363,0.0,330681.69335127436,0.17329576662181417,0.992,0.992,0.015363128491620111,Regenerative Agriculture,212.3571290854921
regenbond_lp_injection,2,2100103,0.06,52,52,125,127,323,217029.17467250122,0.9678714859437751,12750.841438960464,0.0,127576.6031187295,21832.166078412127,21832.166078412127,0.0,0.224,0.05934644712186366,0.131606744,0.5871473577673308,923.5633170249156,0.232,0.184,0.584,400000.0,90571.99365062188,90571.99365062188,-309428.00634937815,0.2264299841265547,0.2264299841265547,0.22642998412655468,24000.0,3.773833068775912,0.0,309428.00634937815,0.2264299841265547,0.992,0.992,0.014058921096279915,Regenerative Agriculture,196.2641592019096
regenbond_lp_injection,1,2200102,0.12,52,52,125,127,351,240736.7900387067,0.978494623655914,20212.952511583335,0.0,192957.40229512076,24745.62095492663,24745.62095492663,0.0,0.232,0.06058075057772731,0.132428824,0.5900632302511085,935.3639084206635,0.224,0.2,0.576,400000.0,73426.83625557262,73426.83625557262,-326573.1637444274,0.18356709063893156,0.18356709063893156,0.1835670906389315,48000.0,1.5297257553244297,0.0,326573.1637444274,0.18356709063893156,0.992,0.992,0.016907553858740116,Regenerative Agriculture,199.41857491548268
regenbond_lp_injection,2,2200103,0.12,52,52,125,127,290,251300.181374512,0.9541666666666667,13290.284946681864,94.2900469551508,174962.0400747832,17208.887041379105,17208.887041379105,0.0,0.256,0.044864432634553725,0.13452191200000002,0.5942541324274478,943.5900706733369,0.224,0.216,0.56,400000.0,73941.5670905881,73941.5670905881,-326058.4329094119,0.18485391772647025,0.18485391772647025,0.1848539177264703,48000.0,1.540449314387252,0.0,326058.4329094119,0.18485391772647025,0.992,0.992,0.01816083108888034,Regenerative Agriculture,199.79917119390373
stress_weak_pool_repayment,1,3000102,0.0,52,52,125,127,293,227016.0038494322,0.9495412844036697,10169.563240413469,254.9277849968542,141499.08435357938,17759.434809371996,17759.434809371996,0.0,0.216,0.06647797771514455,0.1127282,0.5703002700164023,958.3920422938295,0.176,0.168,0.656,400000.0,74805.78191507763,74805.78191507763,-325194.21808492235,0.18701445478769407,0.18701445478769407,0.18701445478769418,0.0,1.0,0.0,325194.21808492235,0.18701445478769407,0.992,0.992,0.018397324025596278,Regenerative Agriculture,204.26775579225492
stress_weak_pool_repayment,2,3000103,0.0,52,52,125,127,334,171625.43732701085,0.9770992366412213,15316.122313821277,0.0,151125.5206124095,19580.804427187442,19580.804427187442,0.0,0.224,0.060061009552575054,0.1127282,0.5703002700164023,849.508724985852,0.328,0.184,0.488,400000.0,98508.22423015359,98508.22423015359,-301491.7757698464,0.24627056057538396,0.24627056057538396,0.24627056057538388,0.0,1.0,0.0,301491.7757698464,0.24627056057538396,0.992,0.992,0.0189657967255633,Regenerative Agriculture,179.79562353859444
