scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,bond_principal_usd,bond_raw_lp_returned_usd,bond_cumulative_fee_return_usd,bond_net_after_principal_usd,bond_simple_fee_yield,bond_annualized_fee_yield,bond_cagr_fee_yield,bond_coupon_due_usd,bond_coupon_coverage_ratio,bond_coupon_shortfall_usd,bond_principal_shortfall_at_term_usd,bond_payback_ratio
regenbond_lp_injection,1,502,0.06,260,143,125,127,320,51583.02789192843,0.8595317725752508,8548.277949314639,49.6176614864021,164503.66054962503,37637.19041728676,37637.19041728676,0.0,0.344,0.0004469415753246254,0.131831208,0.5863269363717228,1359.2051783039472,0.24,0.176,0.584,400000.0,217039.0297124207,217039.0297124207,-182960.9702875793,0.5425975742810518,0.1973082088294734,0.1707266563526133,66000.0,3.2884701471578897,0.0,0.0,0.5425975742810518
regenbond_lp_injection,1,502,0.06,260,156,125,127,356,80120.95169805974,0.9161073825503355,1006.948449627101,28.211187156431453,158069.470891352,40052.71905230261,40052.71905230261,0.0,0.264,0.04435410093381985,0.131831208,0.5863269363717228,1406.1791067939882,0.24,0.176,0.584,400000.0,235694.12017961527,235694.12017961527,-164305.87982038473,0.5892353004490382,0.19641176681634606,0.16697817633733214,72000.0,3.273529446939101,0.0,0.0,0.5892353004490382
regenbond_lp_injection,1,502,0.06,260,169,125,127,324,43045.613073802495,0.85,2680.444950836988,0.0,144315.75324375028,41779.28898183809,41779.28898183809,0.0,0.328,0.0004518680179528421,0.131831208,0.5863269363717228,1453.0277169623878,0.24,0.176,0.584,400000.0,255239.48511508724,255239.48511508724,-144760.51488491276,0.6380987127877181,0.19633806547314403,0.16399413079628533,78000.0,3.272301091219067,0.0,0.0,0.6380987127877181
regenbond_lp_injection,1,502,0.06,260,182,125,127,318,63269.622727606205,0.867109634551495,4508.715418080206,0.0,153321.90548097517,43984.780943472055,43984.780943472055,0.0,0.36,0.0002742963657061138,0.131831208,0.5863269363717228,1493.7597981725096,0.24,0.176,0.584,400000.0,279228.142487665,279228.142487665,-120771.857512335,0.6980703562191625,0.199448673205475,0.1633265047120207,84000.0,3.3241445534245835,0.0,0.0,0.6980703562191625
regenbond_lp_injection,1,502,0.06,260,195,125,127,351,46387.121176181005,0.867109634551495,4206.764430326417,90.18514456978119,149835.96050759245,46163.21023556905,46163.21023556905,0.0,0.352,0.00034602512841755824,0.131831208,0.5863269363717228,1535.1520592834233,0.24,0.176,0.584,400000.0,297077.67675951804,297077.67675951804,-102922.32324048196,0.7426941918987952,0.19805178450634536,0.1596465732902168,90000.0,3.300863075105756,0.0,0.0,0.7426941918987952
regenbond_lp_injection,1,502,0.06,260,208,125,127,345,78843.41073881462,0.8862876254180602,2588.117812028005,0.0,156617.64042751605,47815.74632252069,47815.74632252069,0.0,0.304,0.04219216595486149,0.131831208,0.5863269363717228,1575.0920746359166,0.24,0.176,0.584,400000.0,309865.42167944077,309865.42167944077,-90134.57832055923,0.7746635541986019,0.19366588854965047,0.1541945189630034,96000.0,3.2277648091608415,0.0,0.0,0.7746635541986019
regenbond_lp_injection,1,502,0.06,260,221,125,127,364,60172.19211445699,0.8993288590604027,6256.054742990131,0.0,165816.74413474443,50104.22757774353,50104.22757774353,0.0,0.344,0.00031159978553008116,0.131831208,0.5863269363717228,1609.4623394111945,0.24,0.176,0.584,400000.0,328235.75698851654,328235.75698851654,-71764.24301148346,0.8205893924712914,0.19307985705206857,0.15140034388319168,102000.0,3.217997617534476,0.0,0.0,0.8205893924712914
regenbond_lp_injection,1,502,0.06,260,234,125,127,298,43218.27204170854,0.87,1284.1850491445423,0.0,167175.81228379253,52173.44731463581,52173.44731463581,0.0,0.352,0.00018985119122650118,0.131831208,0.5863269363717228,1642.4441968687688,0.24,0.176,0.584,400000.0,351123.51824317797,351123.51824317797,-48876.48175682203,0.8778087956079449,0.19506862124620997,0.15030078276363223,108000.0,3.251143687436833,0.0,0.0,0.8778087956079449
regenbond_lp_injection,1,502,0.06,260,247,125,127,336,46724.99722013503,0.8762541806020067,3416.514627938249,36.879466185531605,162657.9067103311,54137.286590024174,54137.286590024174,0.0,0.384,0.00023522605498235764,0.131831208,0.5863269363717228,1675.1435302692191,0.24,0.176,0.584,400000.0,364104.72212476627,364104.72212476627,-35895.27787523373,0.9102618053119157,0.19163406427619278,0.1459810891341311,114000.0,3.1939010712698797,0.0,0.0,0.9102618053119157
regenbond_lp_injection,1,502,0.06,260,260,125,127,354,96308.9954475412,0.9235880398671097,1172.9915989783763,57.12021215980631,176043.3751674452,56193.84007930864,56193.84007930864,0.0,0.264,0.040200353530243316,0.131831208,0.5863269363717228,1705.9030083623081,0.24,0.176,0.584,400000.0,384973.31881218526,384973.31881218526,-15026.681187814742,0.9624332970304631,0.1924866594060926,0.14435028155853002,120000.0,3.208110990101544,0.0,15026.681187814742,0.9624332970304631
regenbond_lp_injection,2,503,0.06,260,13,125,127,285,59644.26604747758,0.9776536312849162,4686.156686330696,0.0,95206.79653309997,5381.423913245782,5381.423913245782,0.0,0.208,0.00010344990894687059,0.130335736,0.5858723280747691,425.97072247076704,0.224,0.184,0.592,400000.0,9625.990597878541,9625.990597878541,-390374.0094021215,0.02406497649469635,0.0962599059787854,0.0997907262590334,6000.0,1.60433176631309,0.0,0.0,0.02406497649469635
regenbond_lp_injection,2,503,0.06,260,26,125,127,332,91176.58279848732,0.9533333333333334,3531.3749914049367,23.629677601897928,102069.13659192123,11734.305925641287,11734.305925641287,0.0,0.272,9.760312096849178e-05,0.130335736,0.5858723280747691,653.0302447757031,0.224,0.184,0.592,400000.0,28523.84965740497,28523.84965740497,-371476.150342595,0.07130962414351243,0.14261924828702485,0.147704310782514,12000.0,2.3769874714504144,0.0,0.0,0.07130962414351243
regenbond_lp_injection,2,503,0.06,260,39,125,127,365,93711.09512379488,0.9039735099337748,3841.6676675245644,2.0,92437.30052215344,16248.007645376952,16248.007645376952,0.0,0.264,0.0002694053946905505,0.130335736,0.5858723280747691,837.9380300999732,0.224,0.184,0.592,400000.0,48045.94064047887,48045.94064047887,-351954.05935952114,0.12011485160119717,0.1601531354682629,0.1632777125357341,18000.0,2.669218924471048,0.0,0.0,0.12011485160119717
regenbond_lp_injection,2,503,0.06,260,52,125,127,345,274107.5369362444,0.9929577464788732,24924.478329051286,33.33185211033436,123460.77755007686,23617.625320733503,23617.625320733503,0.0,0.184,0.059600751999022226,0.130335736,0.5858723280747691,957.1634095806744,0.224,0.184,0.592,400000.0,81865.11872603104,81865.11872603104,-318134.88127396896,0.2046627968150776,0.2046627968150776,0.2046627968150776,24000.0,3.4110466135846265,0.0,0.0,0.2046627968150776
regenbond_lp_injection,2,503,0.06,260,65,125,127,352,87073.14782079792,0.98,13301.851297637171,0.0,121139.79852802474,28650.60681009909,28650.60681009909,0.0,0.224,3.544333678083039e-05,0.130335736,0.5858723280747691,1054.4960315245328,0.224,0.184,0.592,400000.0,114544.11977301486,114544.11977301486,-285455.88022698514,0.28636029943253716,0.22908823954602972,0.2231792426344723,30000.0,3.818137325767162,0.0,0.0,0.28636029943253716
regenbond_lp_injection,2,503,0.06,260,78,125,127,369,59118.088782070015,0.9066666666666666,2398.2657016975913,60.049690208584124,117813.65760920479,32267.2688823727,32267.2688823727,0.0,0.272,8.12664314474286e-05,0.130335736,0.5858723280747691,1146.359972239668,0.224,0.184,0.592,400000.0,134164.40285674468,134164.40285674468,-265835.5971432553,0.33541100714186173,0.22360733809457448,0.21267186323445353,36000.0,3.7267889682429076,0.0,0.0,0.33541100714186173
regenbond_lp_injection,2,503,0.06,260,91,125,127,367,112275.00911504867,0.9366666666666666,6498.648678733483,59.07868731335441,161552.542566252,36867.89158412884,36867.89158412884,0.0,0.264,0.00016706876037045755,0.130335736,0.5858723280747691,1217.6206376747602,0.224,0.184,0.592,400000.0,164750.1666438993,164750.1666438993,-235249.8333561007,0.4118754166097483,0.23535738091985617,0.2178615783814093,42000.0,3.922623015330936,0.0,0.0,0.4118754166097483
regenbond_lp_injection,2,503,0.06,260,104,125,127,279,154731.15292722295,0.9822222222222222,7921.989576911733,30.78538954960905,155632.12790009895,41226.943543665126,41226.943543665126,0.0,0.24,0.05590458843594856,0.130335736,0.5858723280747691,1281.7935539099408,0.224,0.184,0.592,400000.0,189768.3770445464,189768.3770445464,-210231.6229554536,0.47442094261136597,0.23721047130568298,0.21425736259302375,48000.0,3.9535078550947165,0.0,0.0,0.47442094261136597
