scenario,network_scale,coupon_target_annual,principal_ratio,runs,safe,strong_success,binding_constraint,scheduled_payment_coverage_p05,issuer_unpaid_scheduled_claim_p95,voucher_to_voucher_volume_ratio_vs_baseline,voucher_to_voucher_share_p50,v2s_to_v2v_volume_ratio_p50,s2v_to_v2v_volume_ratio_p50,active_routable_producer_voucher_float_ratio_vs_baseline,producer_borrowing_capacity_used_share_p95,producer_borrowing_capacity_remaining_usd_p50,cap_bound_producer_count_p50,cap_bound_own_voucher_route_suppressed_count_total_p50,own_voucher_v2v_blocked_by_debt_limit_count_total_p50,own_voucher_v2s_blocked_by_debt_limit_count_total_p50,stable_receipts_waiting_for_repayment_usd_p50,producer_debt_arrears_usd_p50,productive_credit_debt_return_scheduled_usd_total_p50,productive_credit_debt_return_received_usd_total_p50,mechanism_capacity_pressure_present,mechanism_v2v_decline_present,mechanism_repayment_waiting_present
bond_issuer_frontier,current,0.25,1.0,100,1,1,,1.0,0.0,1.002559080318085,0.3067746367459242,0.2851739463531795,0.05074727267132814,0.9996834130065467,0.030388644410593493,127732497.66391173,0.0,0.0,0.0,0.0,2871.876301047434,42.1400212129474,89828.4616262657,85846.02651440377,0,0,1
bond_issuer_frontier,current,0.25,1.5,100,1,0,,1.0,0.0,0.9928478602433015,0.2984819728298951,0.295848773825333,0.05111110225393578,1.003860578147605,0.030596269083351644,127797638.57556695,0.0,0.0,0.0,0.0,2908.4668063501067,35.53449572380955,89519.06346832385,85465.81798813315,0,0,1
bond_issuer_frontier,current,0.25,2.0,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.7701942659873955,14143.699311755512,0.9960778649887341,0.2943408304918018,0.291251107419552,0.05155962127168765,1.0026162214536085,0.030634023910665716,128014729.30550447,0.0,0.0,0.0,0.0,2937.935559526024,30.680234644693215,89624.74660491043,85541.40843472586,0,0,1
bond_issuer_frontier,current,0.35,0.05,100,1,1,,1.0,0.0,0.9976240285738653,0.33086380996614506,0.28190825666996355,0.04974934537526597,1.0004084424558917,0.030428444462570054,128019818.06593528,0.0,0.0,0.0,0.0,2844.3617577947057,49.35357490112099,90525.5461684477,86533.38193662479,0,0,1
bond_issuer_frontier,current,0.35,0.1,100,1,1,,1.0,0.0,1.0032095595222104,0.3286994317760079,0.284832624783968,0.051882724961967386,1.0012452050769813,0.030660006694513138,127884727.38628954,0.0,0.0,0.0,0.0,2820.1767054414895,47.4422769666935,90511.3646928144,86552.0963527331,0,0,1
bond_issuer_frontier,current,0.35,0.25,100,1,1,,1.0,0.0,1.0010027039087712,0.32450560330636,0.2849188768400274,0.049709850083332036,1.001862640115877,0.03048454650561789,127849327.34700118,0.0,0.0,0.0,0.0,2827.9580878067345,47.461696498132106,90611.30570960772,86635.3915675121,0,0,1
bond_issuer_frontier,current,0.35,0.5,100,1,1,,1.0,0.0,1.0014684354847956,0.3170160868426162,0.28219276528513193,0.05028396014931396,1.0002577467544709,0.03034062920514758,127818903.82269058,0.0,0.0,0.0,0.0,2851.7419822877605,49.85811030092529,90443.89490223772,86414.12480954375,0,0,1
bond_issuer_frontier,current,0.35,0.75,100,1,1,,1.0,0.0,0.9988308505298537,0.3102700704281105,0.2848531586438465,0.051279633966177594,1.0022078073536906,0.030498427928412616,127697693.4297226,0.0,0.0,0.0,0.0,2830.832613388131,41.11206222999607,89953.45556264019,86015.52072557787,0,0,1
bond_issuer_frontier,current,0.35,1.0,100,1,1,,1.0,0.0,0.9941816016959114,0.3041415808462422,0.2894749324504277,0.051543538879142106,1.001272325145287,0.030396383080996826,127873131.36853787,0.0,0.0,0.0,0.0,2866.7475604459805,44.01187392517137,89682.3548718856,85788.81567242695,0,0,1
bond_issuer_frontier,current,0.35,1.5,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.8798549930958478,6449.633373686417,0.9944015002526009,0.2962124494871165,0.29127297971837063,0.05115329200296423,1.003352641508798,0.03044006934678522,127838722.19948077,0.0,0.0,0.0,0.0,2886.443115584596,28.36014999618672,89207.38293325795,85433.0231203222,0,0,1
bond_issuer_frontier,current,0.35,2.0,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.6645125979646705,24012.88021725946,0.9935517391366165,0.2936816690735692,0.29331976670412047,0.05205829548076169,1.0036785540501159,0.030427720094418603,127940658.27033834,0.0,0.0,0.0,0.0,2919.3994256211977,26.61926735093291,89435.70782165267,85371.22666626287,0,0,1
bond_issuer_frontier,current,0.45,0.05,100,1,1,,1.0,0.0,0.9975006984852066,0.3305901752489053,0.28152898453565744,0.04887686204083301,0.999401427741191,0.03051483640625756,127963782.62364367,0.0,0.0,0.0,0.0,2811.779137877672,48.76074701095446,90764.3176970031,86708.85369274743,0,0,1
bond_issuer_frontier,current,0.45,0.1,100,1,1,,1.0,0.0,0.9953706015065221,0.3282286924652892,0.28558409798120793,0.049895535938348015,1.0026460641637869,0.030345639213868125,127906287.16217428,0.0,0.0,0.0,0.0,2853.7893260671326,47.72912233565148,90412.93067402585,86492.36213570551,0,0,1
bond_issuer_frontier,current,0.45,0.25,100,1,1,,1.0,0.0,1.000222097591547,0.32446579967169187,0.2851164907432341,0.050625105487624306,1.0009190553182183,0.03041608832396079,127877797.69463813,0.0,0.0,0.0,0.0,2815.766980162241,45.64954571410352,90755.77088682825,86466.25785455294,0,0,1
bond_issuer_frontier,current,0.45,0.5,100,1,1,,1.0,0.0,0.999181513074401,0.31701684190437257,0.28434614861552554,0.05106502206080663,1.000026906705485,0.030533471487836417,127764781.62865229,0.0,0.0,0.0,0.0,2807.1483034433995,40.537312032854146,89929.26836093755,85998.65296696784,0,0,1
bond_issuer_frontier,current,0.45,0.75,100,1,1,,1.0,0.0,0.9979664868372707,0.30714626678455187,0.28631378016670395,0.05157689744503044,1.0040071011203147,0.03056385417813742,127900429.79820074,0.0,0.0,0.0,0.0,2849.7065263751983,42.06402597958805,89831.78321937841,85817.00878355907,0,0,1
bond_issuer_frontier,current,0.45,1.0,100,1,0,,1.0,0.0,0.9901468037044946,0.3018347359974408,0.29269157130421036,0.05164825091672098,1.0026410805027228,0.030548111514530553,127805001.01033178,0.0,0.0,0.0,0.0,2849.1076754242204,39.46486776802684,89714.70797620516,85603.31654380693,0,0,1
bond_issuer_frontier,current,0.45,1.5,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.7722310693607014,13940.461866003496,0.9920404406735622,0.2939917841140489,0.29196360186872894,0.051555061532654906,1.0040563872990345,0.030771295275289618,127781106.22898129,0.0,0.0,0.0,0.0,2939.363150652202,29.721272451553652,89423.13973813073,85434.76446816724,0,0,1
bond_issuer_frontier,current,0.45,2.0,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.5798476317719804,34286.900914618986,0.988905364211834,0.2956717256827356,0.29353567237159184,0.051737006285003606,1.0043618766913511,0.030695768243116272,127876207.20533033,0.0,0.0,0.0,0.0,2925.502209867606,25.510668432710773,89300.23328874893,85389.04351162957,0,0,1
