scenario,network_scale,coupon_target_annual,bond_fee_service_share,principal_ratio,producer_stable_debt_contract_service_margin_rate,producer_voucher_debt_contract_service_margin_rate,principal_usd_p50,service_coverage_p05,service_coverage_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,service_cash_headroom_p05,service_cash_headroom_p50,gross_historical_service_cash_headroom_p05,gross_historical_service_cash_headroom_p50,available_service_cash_headroom_p05,available_service_cash_headroom_p50,issuer_lockbox_surplus_usd_p50,issuer_excess_recovered_stable_usd_p50,issuer_operating_surplus_usd_p50,issuer_operating_surplus_headroom_ratio_p50,issuer_fee_waterfall_ops_usd_p50,issuer_sustainability_resources_usd_p50,issuer_sustainability_headroom_ratio_p50,bond_service_lockbox_target_usd_p50,bond_service_lockbox_coverage_ratio_p50,bond_service_lockbox_mode,fee_service_reserved_usd_total_p50,fee_service_stable_reserved_usd_total_p50,fee_service_converted_voucher_reserved_usd_total_p50,issuer_scheduled_debt_service_due_p50,issuer_actual_bondholder_payment_p50,issuer_reserve_balance_p05,issuer_reserve_draw_p95,issuer_unpaid_scheduled_claim_p95,safe,binding_constraint
bond_issuer_frontier,current,0.08,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,3.4241927666240533,3.907001059231306,3.4241927666240533,3.907001059231306,1.9727791493459321,2.0140726041645944,4171.473410038125,12749.234206444758,16920.707616482883,1.0140726041645944,0.0,16920.707616482883,1.0140726041645944,20857.36705019062,1.25,remaining_schedule,8996.936066973578,2505.2382314890947,6524.299196723093,16685.893640152495,16685.893640152495,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,2.7352300593947003,3.0728912781809763,2.7352300593947003,3.0728912781809763,1.643083917361664,1.6672792027945422,5561.9645467175,9283.568528103147,14845.533074820643,0.6672792027945422,0.0,14845.533074820643,0.6672792027945422,27809.822733587498,1.25,remaining_schedule,12522.15299758847,3430.3263558212984,9082.283934497911,22247.85818687,22247.85818687,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,2.0248904925172333,2.2966869373762018,2.0248904925172333,2.2966869373762018,1.3183203340508731,1.3343041089472205,8342.94682007625,2813.3787906422945,11156.325610718544,0.3343041089472204,0.0,11156.325610718544,0.3343041089472204,41714.73410038124,1.25,remaining_schedule,19598.817927031545,5347.9806072436095,14281.89684254698,33371.78728030499,33371.78728030499,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,2.0,0.0,0.0,36471.898666999994,1.0,1.0,1.0,1.0,1.606022247946596,1.7919852100138713,1.606022247946596,1.7919852100138713,1.0609174039736409,1.087581780131352,3897.0140482318966,0.0,3897.0140482318966,0.08758178013135202,0.0,3897.0140482318966,0.08758178013135202,55619.645467174996,1.25,remaining_schedule,23182.616427736124,6277.305271152107,16887.49467378908,44495.71637374,44495.71637374,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,39.89221235757563,44.797565650597264,39.89221235757563,44.797565650597264,19.625529637748684,20.168894545068817,303.1726576694375,22942.76615758535,23245.938815254784,19.168894545068817,0.0,23245.938815254784,19.168894545068817,1515.8632883471873,1.25,remaining_schedule,128.77849734948916,67.91832768539311,59.31282154858337,1212.6906306777498,1212.6906306777498,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,20.31057561830674,23.45654524157095,20.31057561830674,23.45654524157095,10.036951761202385,10.332732895001655,606.345315338875,22029.09016543421,22635.435480773085,9.332732895001659,0.0,22635.435480773085,9.332732895001659,3031.7265766943747,1.25,remaining_schedule,600.933871538673,209.91003849309092,394.6643041446221,2425.3812613554996,2425.3812613554996,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,8.203336050507028,9.645222498337741,8.203336050507028,9.645222498337741,4.323936650464577,4.454804960891959,1515.8632883471873,19432.184746116254,20948.04803446344,3.454804960891959,0.0,20948.04803446344,3.454804960891959,7579.316441735936,1.25,remaining_schedule,2539.5462005771356,740.9559640030818,1791.63962120805,6063.453153388748,6063.453153388748,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,4.447933530717449,5.1959488784861545,4.447933530717449,5.1959488784861545,2.470356763179864,2.520964018714806,3031.7265766943747,15412.861574239856,18444.58815093423,1.5209640187148061,0.0,18444.58815093423,1.5209640187148061,15158.632883471872,1.25,remaining_schedule,6121.381860132504,1681.5074592236947,4448.375407686555,12126.906306777497,12126.906306777497,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,3.2015962317512163,3.649352907381939,3.2015962317512163,3.649352907381939,1.8599325061543985,1.8962258309720958,4547.589865041562,11755.080157827058,16302.67002286862,0.8962258309720958,0.0,16302.67002286862,0.8962258309720958,22737.94932520781,1.25,remaining_schedule,9868.388698737057,2711.3382892672253,7185.805836678035,18190.359460166248,18190.359460166248,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,2.593102532607947,2.9075507531805735,2.593102532607947,2.9075507531805735,1.5633795489673852,1.5854927330108577,6063.453153388749,8136.977879654773,14200.431033043522,0.5854927330108575,0.0,14200.431033043522,0.5854927330108575,30317.265766943743,1.25,remaining_schedule,13687.74894162076,3753.3809386652415,9956.752597694882,24253.812613554994,24253.812613554994,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,1.9204453262517431,2.13856516350694,1.9204453262517431,2.13856516350694,1.2670438003524938,1.2793122476400494,9095.179730083124,1066.400642315817,10161.580372398941,0.2793122476400494,0.0,10161.580372398941,0.2793122476400494,45475.89865041562,1.25,remaining_schedule,21569.892627382877,5867.986943424601,15655.36943550728,36380.718920332496,36380.718920332496,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.12,1.0,2.0,0.0,0.0,36471.898666999994,0.9762680379707026,0.9986835754776745,0.9762680379707026,0.9986835754776745,1.4812264061249072,1.6514208095275769,1.4812264061249072,1.6514208095275769,0.9762680379707026,0.9986835754776745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60634.531533887486,1.25,remaining_schedule,23150.396965983135,6336.715798956766,16781.067639324374,48507.62522710999,48443.76859974125,0.0,0.0,1151.1811200211575,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
bond_issuer_frontier,current,0.15,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,37.435781382531154,42.45393275424026,37.435781382531154,42.45393275424026,18.559486883361647,19.086702228851728,321.978480419609,22972.137117370956,23294.115597790562,18.086702228851728,0.0,23294.115597790562,18.086702228851728,1609.8924020980467,1.25,remaining_schedule,157.40939123008786,77.94504175443936,77.70074191506609,1287.9139216784374,1287.9139216784374,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,19.34963942278059,21.72223542186133,19.34963942278059,21.72223542186133,9.45592709271872,9.75888349594865,643.956960839218,21917.41902474432,22561.375985583538,8.75888349594865,0.0,22561.375985583538,8.75888349594865,3219.7848041960933,1.25,remaining_schedule,681.5168705749078,230.66656455630482,451.27712571267205,2575.827843356875,2575.827843356875,0.0,0.0,0.0,1,
